File Name,Measured width,Measured Height,Nominal Width,Nominal Height
00.JPG,-4.667,-5.119,-3.777,-4.605
01.JPG,-4.012,-5.573,-3.507,-4.942
10.JPG,-1.559,0.213,-1.485,0.882
20.JPG,-13.783,-10.787,-13.203,-10.832
30.JPG,-10.865,-9.797,-11.044,-9.978
31.JPG,-10.940,-10.403,-10.852,-10.315
32.JPG,-10.892,-9.124,-11.071,-9.124
33.JPG,-12.943,-9.541,-10.331,-9.630
40.JPG,464.008,-79.323,443.211,-79.344
50.JPG,-3.498,-4.883,-3.878,-4.119
60.JPG,-13.456,-14.049,-14.676,-14.531
